name,kind
Administritanje racunarskih mreza (P),masinska-computer
Osnove grafickog dizajna,computer
Odrzavanje racunarskog hardvera (T),regular
Odrzavanje racunarskog hardvera (P),masinska-computer
Racunarske mreze (T),regular
Racunarske mreze (P),masinska-regular
Telekomunikacioni korisnicki sistemi I (T),regular
Telekomunikacioni korisnicki sistemi I (P),masinska
Elektronski sigurnosni sistemi (T),regular
Elektronski sigurnosni sistemi (P),regular
Prenosno-pristupne mreze (T),masinska-regular
Prenosno-pristupne mreze (P),masinska
Produkcija multimedijalnog sadrzaja,computer
Digitalna elektronika (T),regular
Digitalna elektronika (P),14
Razvoj veb aplikacija I (T),regular
Razvoj veb aplikacija I (P),computer
Telekomunikacione mreze (T),regular
Telekomunikacione mreze (P),regular
Industrijska elektronika i automatika (T),regular
Industrijska elektronika i automatika (P),regular
3D grafika,computer
Razvoj mobilnih aplikacija I (T),regular
Razvoj mobilnih aplikacija I (P),computer
Instaliranje opreme elektronskih komunikacionih sistema,masinska
Pripremni i pomocni radovi u izgradnji elektronske komunikacione infrastrukture,masinska
Programiranje mikrokontrolera (T),regular
Programiranje mikrokontrolera (P),masinska-14
Osnove elektronike,regular
Izvodjenje elektricnih instalacija i osvjetljenja (T),masinska
Izvodjenje elektricnih instalacija i osvjetljenja (P),masinska
Elektroinstalaterski radovi u gradjevinskim objektima,masinska
Elektronika u elektroenergetici,masinska-14
Izgradnja elektronske komunikacione infrastrukture,masinska
Proizvodnja elektricne energije,regular
Projektovanje u elektroenergetici,masinska
Upravljanje elektromotornim pogonima (T),regular
Upravljanje elektromotornim pogonima (P),masinska
Eksploatacija elektroenergetskih sistema (T),regular
Eksploatacija elektroenergetskih sistema (P),masinska
Specijalne elektricne instalacije (T),regular
Specijalne elektricne instalacije (P),masinska
Distribucija i portosnja elektricne energije (T),regular
Distribucija i portosnja elektricne energije (P),masinska
